sim_id,case_id,field_file,B0_MHz,B0_T,J_IS,k_ex,p_B,dw_N,B1_N,tau_m,tau_e,S2,r_IS,r_eff,csa_N,theta_N_rad,theta_N_deg,I0,relative_esd,noise_enabled,seed,repeated_ncyc,valid_points,nonfinite_points,skipped_count,skipped_ncyc
59,59,Data/600MHz/sim_000059_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05666666666666667,6.0,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,51;17;61,40,0,0,
60,60,Data/600MHz/sim_000060_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05888888888888889,1.0,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,9;47;39,40,0,0,
61,61,Data/600MHz/sim_000061_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05888888888888889,1.3571428571428572,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,21;11;1,40,0,0,
62,62,Data/600MHz/sim_000062_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05888888888888889,1.7142857142857144,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,65;43;7,40,0,0,
63,63,Data/600MHz/sim_000063_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05888888888888889,2.071428571428571,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,71;75;39,40,0,0,
64,64,Data/600MHz/sim_000064_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05888888888888889,2.428571428571429,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,35;53;9,40,0,0,
65,65,Data/600MHz/sim_000065_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05888888888888889,2.7857142857142856,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,3;35;33,40,0,0,
66,66,Data/600MHz/sim_000066_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05888888888888889,3.142857142857143,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,1;41;35,40,0,0,
67,67,Data/600MHz/sim_000067_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05888888888888889,3.5,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,57;15;45,40,0,0,
68,68,Data/600MHz/sim_000068_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05888888888888889,3.857142857142857,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,65;17;5,40,0,0,
69,69,Data/600MHz/sim_000069_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05888888888888889,4.214285714285714,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,53;71;39,40,0,0,
70,70,Data/600MHz/sim_000070_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05888888888888889,4.571428571428571,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,23;43;25,40,0,0,
71,71,Data/600MHz/sim_000071_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05888888888888889,4.928571428571429,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,17;63;75,40,0,0,
72,72,Data/600MHz/sim_000072_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05888888888888889,5.285714285714286,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,21;41;31,40,0,0,
73,73,Data/600MHz/sim_000073_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05888888888888889,5.642857142857143,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,51;1;69,40,0,0,
74,74,Data/600MHz/sim_000074_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05888888888888889,6.0,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,77;9;31,40,0,0,
75,75,Data/600MHz/sim_000075_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.061111111111111116,1.0,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,13;73;49,40,0,0,
76,76,Data/600MHz/sim_000076_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.061111111111111116,1.3571428571428572,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,59;1;5,40,0,0,
77,77,Data/600MHz/sim_000077_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.061111111111111116,1.7142857142857144,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,3;43;15,40,0,0,
78,78,Data/600MHz/sim_000078_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.061111111111111116,2.071428571428571,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,37;35;17,40,0,0,
79,79,Data/600MHz/sim_000079_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.061111111111111116,2.428571428571429,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,51;5;1,40,0,0,
